entity:ID,name,:LABEL
en1,2003-03-20T00:00:00Z,s
en2,what is the end time for the daily show as rachael harris has cast member,s
en3,Q5294,s
en4,what medium is preceded by grand theft auto v,s
en5,Q215622,s
en6,Q25052149,s
en7,Q30173038,s
en8,Q3586935,s
en9,Q428598,s
en10,Q543609,s
en11,Q590740,s
en12,Q918466,s
en13,Q918472,s
en14,Q918503,s
en15,what is jeremy corbyns position and when was he chosen,s
en16,Q192626,s
en17,what island did james cook land on in 1778,s
en18,1910-01-01T00:00:00Z,s
en19,what was the wedding date of nikolay gumilev and anna akhmatova,s
en20,Q57321,s
en21,who was the president in 2012 of the country where the bribri language was spoken,s
en22,1989-10-01T00:00:00Z,s
en23,until when was c. everett koop the surgeon general of the u.s.,s
en24,-0011-01-01T00:00:00Z,s
en25,0979-01-01T00:00:00Z,s
en26,what is the launch date of the place of activity of marine le pen,s
en27,Q366731,s
en28,american naval leader during the world war 2,s
en29,Q233644,s
en30,"who married grover cleveland on june 2, 1886",s
en31,Q213417,s
en32,who did brett gardner play for in 2008,s
en33,Q354373,s
en34,what is member of of victor hugo and follows,s
en35,2001-07-01T00:00:00Z,s
en36,2002-10-14T00:00:00Z,s
en37,"david trimble, the first minister of northern ireland, finishes at what time",s
en38,Q536900,s
en39,1998-01-01T00:00:00Z,s
en40,when did tiger woods receive best male athlete espy award,s
en41,1928-01-01T00:00:00Z,s
en42,what is the start time for karl pearson has member of as american academy of arts and sciences,s
en43,Q664167,s
en44,what is record label of patti smith that is start time is 1975-0-0,s
en45,Q1474410,s
en46,tell me what morgan freeman was nominated for in the 32nd tony awards.,s
en47,Q5606394,s
en48,who is the long snapper currently for the steelers,s
en49,Q50686,s
en50,Q842112,s
en51,Q849866,s
en52,"which class of government, does the location where the breed ga noi originated at have currently",s
en53,2001-01-01T00:00:00Z,s
en54,when did marta suplicy become the head of government for são paulo,s
en55,Q142,s
en56,Q31,s
en57,Q32,s
en58,Q35,s
en59,Q36,s
en60,Q41,s
en61,Q55,s
en62,neighbouring countries did germany capture in the 1940s,s
en63,1801-03-20T00:00:00Z,s
en64,1859-12-07T00:00:00Z,s
en65,what is the end time for pisa has country as grand duchy of tuscany,s
en66,2002-01-01T00:00:00Z,s
en67,when was alastair cook was relieved from the sports team bedfordshire county cricket club,s
en68,1995-01-01T00:00:00Z,s
en69,what is the start time for sarajevo has twinned administrative body as serre chevalier,s
en70,Q9696,s
en71,which kennedy died first,s
en72,Q1471357,s
en73,what year did brandon roy get drafted,s
en74,Q179732,s
en75,Q525362,s
en76,who is the 2011 governor of the state where altamaha river is lcoated,s
en77,Q280413,s
en78,"until 1964, who was gilles deleuze employed by",s
en79,Q3021599,s
en80,what is spouse of carl akeley that is end time is 1923-0-0,s
en81,Q1051837,s
en82,Q1051846,s
en83,Q1316734,s
en84,Q1316770,s
en85,Q1316802,s
en86,Q155391,s
en87,Q3130846,s
en88,Q4561415,s
en89,Q4562126,s
en90,Q4562311,s
en91,Q4563898,s
en92,Q4564126,s
en93,Q4564356,s
en94,Q4564598,s
en95,Q4564977,s
en96,Q4565294,s
en97,Q6145292,s
en98,Q6147072,s
en99,Q845534,s
en100,Q845599,s
en101,Q845603,s
en102,Q845607,s
en103,Q845627,s
en104,Q845650,s
en105,Q845655,s
en106,Q845665,s
en107,Q922550,s
en108,in which year of world series did the new york yankees win where the results were 4-2,s
en109,Q1297,s
en110,this city had the first woman mayor who was elected in 1979,s
en111,Q60,s
en112,where was john lennon standing when he was shot,s
en113,Q439729,s
en114,who was the new governor of the location where the movie blood widow took place in 2011,s
en115,Q174979,s
en116,who is the first american to visit space,s
en117,Q181786,s
en118,who won best actor when alfred junge won best art direction,s
en119,2017-06-01T00:00:00Z,s
en120,when was marissa mayer never again working at yahoo,s
en121,Q16996747,s
en122,what was jay-z first single,s
en123,1957-01-01T00:00:00Z,s
en124,what is the end time for kwto am s frank peters jr.,s
en125,Q158659,s
en126,"in 1673, holy roman emperor leopold i ended a relationship with which woman",s
en127,Q18732,s
en128,what is member of sports team of kevin keegan that is end time is 1982-1-1,s
en129,Q7750804,s
en130,which book did ann martin write in 2003,s
en131,Q1490,s
en132,what was the administrative body of cairo governate on 1990-10-23,s
en133,1955-01-01T00:00:00Z,s
en134,what year did martin luther king jr get his doctorate degree from boston university,s
en135,Q25139,s
en136,which movie won best cinematography when sam mendes won best director,s
en137,1919-06-26T00:00:00Z,s
en138,what is the end time for simferopol has capital of as crimean socialist soviet republic,s
en139,2005-01-01T00:00:00Z,s
en140,when did heidi klum and seal marry,s
en141,Q737051,s
en142,"in 1967, what was igor sikorsky awarded",s
en143,Q53003,s
en144,1950-05-24T00:00:00Z,s
en145,1958-01-01T00:00:00Z,s
en146,what is spouse of ingrid bergman and start time,s
en147,Q6074142,s
en148,Q6235084,s
en149,what are the athletes who were born on 04/26/1882,s
en150,fot,s
en151,ft,s
en152,futoj,s
en153,láb,s
en154,picioare,s
en155,piedi,s
en156,pieds,s
en157,pés,s
en158,s,s
en159,san.,s
en160,stóp,s
en161,с,s
en162,стапки,s
en163,фут,s
en164,футів,s
en165,ث,s
en166,پا,s
en167,ফুট,s
en168,അടി,s
en169,英尺,s
en170,what is unit symbol of adaptation of of foot per second,s
en171,Q2041168,s
en172,what was the first newspaper called in australia,s
en173,1986-01-01T00:00:00Z,s
en174,what is the end time for norman lear has spouse as frances lear,s
en175,1983-08-12T00:00:00Z,s
en176,what is the end time for union of european football associations has chairperson as artemio franchi,s
en177,7974000000,s
en178,what was the gross domestic product of la rioja in 2015,s
en179,Q319099,s
en180,who did george hw bush go against during his election,s
en181,1707-05-01T00:00:00Z,s
en182,what is formed on date of agent of battle of quiberon bay,s
en183,Q884135,s
en184,what was bruce willis first movie,s
en185,1935-11-26T00:00:00Z,s
en186,when did konstantin rokossovsky start bearing the military rank of komdiv,s
en187,6041903,s
en188,7396898,s
en189,what is population of central visayas that is point in time is 2015-8-1,s
en190,what is winner and point in time of tiger woods has award received as best male athlete espy award,s
en191,Q11453,s
en192,who was the first civilization to have irrigation systems,s
en193,Tallinn,s
en194,give me capital that capital of estonia and which that starts with t,s
en195,Q1829,s
en196,explain and name the twinned administrative body of cagliari starting in 2011,s
en197,Q2083133,s
en198,Q5291122,s
