:START_ID,:END_ID,:TYPE
en2,en1,answer
en4,en3,answer
en15,en5,answer
en15,en6,answer
en15,en7,answer
en15,en8,answer
en15,en9,answer
en15,en10,answer
en15,en11,answer
en15,en12,answer
en15,en13,answer
en15,en14,answer
en17,en16,answer
en19,en18,answer
en21,en20,answer
en23,en22,answer
en26,en24,answer
en26,en25,answer
en28,en27,answer
en30,en29,answer
en32,en31,answer
en34,en33,answer
en37,en35,answer
en37,en36,answer
en40,en38,answer
en40,en39,answer
en42,en41,answer
en44,en43,answer
en46,en45,answer
en48,en47,answer
en52,en49,answer
en52,en50,answer
en52,en51,answer
en54,en53,answer
en62,en55,answer
en62,en56,answer
en62,en57,answer
en62,en58,answer
en62,en59,answer
en62,en60,answer
en62,en61,answer
en65,en63,answer
en65,en64,answer
en67,en66,answer
en69,en68,answer
en71,en70,answer
en73,en72,answer
en76,en74,answer
en76,en75,answer
en78,en77,answer
en80,en79,answer
en108,en81,answer
en108,en82,answer
en108,en83,answer
en108,en84,answer
en108,en85,answer
en108,en86,answer
en108,en87,answer
en108,en88,answer
en108,en89,answer
en108,en90,answer
en108,en91,answer
en108,en92,answer
en108,en93,answer
en108,en94,answer
en108,en95,answer
en108,en96,answer
en108,en97,answer
en108,en98,answer
en108,en99,answer
en108,en100,answer
en108,en101,answer
en108,en102,answer
en108,en103,answer
en108,en104,answer
en108,en105,answer
en108,en106,answer
en108,en107,answer
en110,en109,answer
en112,en111,answer
en114,en113,answer
en116,en115,answer
en118,en117,answer
en120,en119,answer
en122,en121,answer
en124,en123,answer
en126,en125,answer
en128,en127,answer
en130,en129,answer
en132,en131,answer
en134,en133,answer
en136,en135,answer
en138,en137,answer
en140,en139,answer
en142,en141,answer
en146,en143,answer
en146,en144,answer
en146,en145,answer
en149,en147,answer
en149,en148,answer
en170,en150,answer
en170,en151,answer
en170,en152,answer
en170,en153,answer
en170,en154,answer
en170,en155,answer
en170,en156,answer
en170,en157,answer
en170,en158,answer
en170,en159,answer
en170,en160,answer
en170,en161,answer
en170,en162,answer
en170,en163,answer
en170,en164,answer
en170,en165,answer
en170,en166,answer
en170,en167,answer
en170,en168,answer
en170,en169,answer
en172,en171,answer
en174,en173,answer
en176,en175,answer
en178,en177,answer
en180,en179,answer
en182,en181,answer
en184,en183,answer
en186,en185,answer
en189,en187,answer
en189,en188,answer
en190,en38,answer
en190,en39,answer
en192,en191,answer
en194,en193,answer
en196,en195,answer
en200,en197,answer
en200,en198,answer
en200,en199,answer
en201,en115,answer
en203,en202,answer
en205,en204,answer
en207,en206,answer
en209,en208,answer
en212,en210,answer
en212,en211,answer
en214,en213,answer
en216,en215,answer
en219,en217,answer
en219,en218,answer
en226,en55,answer
en226,en220,answer
en226,en221,answer
en226,en222,answer
en226,en223,answer
en226,en224,answer
en226,en225,answer
en228,en227,answer
en230,en229,answer
en232,en231,answer
en234,en233,answer
en236,en235,answer
en238,en237,answer
en240,en239,answer
en243,en241,answer
en243,en242,answer
en246,en244,answer
en246,en245,answer
en248,en247,answer
en250,en249,answer
en252,en251,answer
en254,en253,answer
en257,en255,answer
en257,en256,answer
en259,en258,answer
en261,en260,answer
en263,en262,answer
en265,en264,answer
en267,en266,answer
en269,en268,answer
en271,en270,answer
en274,en272,answer
en274,en273,answer
en276,en275,answer
en278,en277,answer
en280,en279,answer
en282,en281,answer
en285,en283,answer
en285,en284,answer
en287,en286,answer
en290,en288,answer
en290,en289,answer
en293,en291,answer
en293,en292,answer
en298,en294,answer
en298,en295,answer
en298,en296,answer
en298,en297,answer
en300,en299,answer
en303,en301,answer
en303,en302,answer
en306,en304,answer
en306,en305,answer
en308,en307,answer
en310,en309,answer
en312,en311,answer
en314,en313,answer
en315,en68,answer
en315,en39,answer
en319,en316,answer
en319,en317,answer
en319,en318,answer
en321,en320,answer
en323,en322,answer
en325,en324,answer
en327,en326,answer
en332,en328,answer
en332,en329,answer
en332,en330,answer
en332,en331,answer
en334,en333,answer
en336,en335,answer
en338,en337,answer
en340,en339,answer
en342,en341,answer
en344,en343,answer
en348,en345,answer
en348,en346,answer
en348,en347,answer
en350,en349,answer
en352,en351,answer
en355,en353,answer
en355,en354,answer
en357,en356,answer
en359,en358,answer
en361,en360,answer
en363,en362,answer
en365,en364,answer
en367,en366,answer
en370,en368,answer
en370,en369,answer
en374,en371,answer
en374,en372,answer
en374,en373,answer
en376,en375,answer
en379,en377,answer
en379,en378,answer
en381,en380,answer
en383,en382,answer
en393,en384,answer
en393,en385,answer
en393,en386,answer
en393,en387,answer
en393,en388,answer
en393,en389,answer
en393,en390,answer
en393,en391,answer
en393,en392,answer
en395,en394,answer
en397,en396,answer
en400,en398,answer
en400,en399,answer
en402,en401,answer
en404,en403,answer
en406,en405,answer
en413,en407,answer
en413,en408,answer
en413,en409,answer
en413,en410,answer
en413,en411,answer
en413,en412,answer
en415,en414,answer
en417,en416,answer
en419,en418,answer
en420,en351,answer
en422,en421,answer
en424,en423,answer
en426,en425,answer
en428,en427,answer
en430,en429,answer
en432,en431,answer
en434,en433,answer
en436,en435,answer
en438,en437,answer
en440,en439,answer
en442,en441,answer
en444,en443,answer
en446,en445,answer
en448,en447,answer
en450,en449,answer
en452,en451,answer
en454,en453,answer
en455,en451,answer
en457,en456,answer
en458,en418,answer
en468,en459,answer
en468,en460,answer
en468,en461,answer
en468,en462,answer
en468,en463,answer
en468,en464,answer
en468,en465,answer
en468,en466,answer
en468,en467,answer
en484,en469,answer
en484,en470,answer
en484,en471,answer
en484,en472,answer
en484,en473,answer
en484,en474,answer
en484,en475,answer
en484,en476,answer
en484,en477,answer
en484,en478,answer
en484,en479,answer
en484,en480,answer
en484,en481,answer
en484,en482,answer
en484,en483,answer
en486,en485,answer
en488,en487,answer
en490,en489,answer
en492,en491,answer
en494,en493,answer
en497,en495,answer
en497,en496,answer
en499,en498,answer
en501,en500,answer
en503,en502,answer
en505,en504,answer
en507,en506,answer
en508,en68,answer
en508,en39,answer
en510,en509,answer
en513,en511,answer
en513,en512,answer
en515,en514,answer
en516,en373,answer
en518,en517,answer
en520,en519,answer
en521,en109,answer
en525,en522,answer
en525,en523,answer
en525,en524,answer
en527,en526,answer
en527,en139,answer
en527,en445,answer
en531,en528,answer
en531,en529,answer
en531,en530,answer
en535,en532,answer
en535,en533,answer
en535,en534,answer
en537,en536,answer
en539,en538,answer
en542,en123,answer
en542,en244,answer
en542,en540,answer
en542,en541,answer
en544,en366,answer
en544,en543,answer
en546,en545,answer
en548,en547,answer
en553,en549,answer
en553,en550,answer
en553,en551,answer
en553,en552,answer
en555,en554,answer
en557,en556,answer
en559,en558,answer
en561,en560,answer
en563,en301,answer
en563,en562,answer
en563,en292,answer
en565,en564,answer
en567,en566,answer
en569,en568,answer
en571,en570,answer
en572,en20,answer
en574,en573,answer
en576,en575,answer
en578,en577,answer
en580,en579,answer
en591,en581,answer
en591,en582,answer
en591,en583,answer
en591,en584,answer
en591,en585,answer
en591,en532,answer
en591,en586,answer
en591,en587,answer
en591,en588,answer
en591,en589,answer
en591,en590,answer
en593,en592,answer
en595,en594,answer
en598,en596,answer
en598,en597,answer
en600,en599,answer
en606,en601,answer
en606,en602,answer
en606,en603,answer
en606,en604,answer
en606,en605,answer
en607,en583,answer
en609,en608,answer
en611,en610,answer
en613,en612,answer
en620,en614,answer
en620,en615,answer
en620,en616,answer
en620,en617,answer
en620,en618,answer
en620,en619,answer
en620,en66,answer
en622,en621,answer
en13184,en623,answer
en13184,en624,answer
en13184,en625,answer
en13184,en626,answer
en13184,en627,answer
en13184,en628,answer
en13184,en629,answer
en13184,en630,answer
en637,en632,answer
en637,en633,answer
en637,en634,answer
en637,en635,answer
en637,en636,answer
en640,en638,answer
en640,en639,answer
en643,en641,answer
en643,en642,answer
en645,en644,answer
en647,en646,answer
en650,en648,answer
en650,en649,answer
en652,en651,answer
en654,en653,answer
en656,en655,answer
en657,en447,answer
en659,en658,answer
en662,en660,answer
en662,en661,answer
en664,en663,answer
en666,en522,answer
en666,en665,answer
en668,en667,answer
en670,en669,answer
en672,en671,answer
en673,en223,answer
en675,en674,answer
en677,en676,answer
en679,en678,answer
en682,en680,answer
en682,en681,answer
en684,en683,answer
en685,en145,answer
en687,en686,answer
en689,en688,answer
en690,en538,answer
en692,en691,answer
en694,en693,answer
en696,en695,answer
en698,en697,answer
en700,en699,answer
en701,en111,answer
en702,en686,answer
en704,en313,answer
en704,en703,answer
en706,en705,answer
en708,en707,answer
en714,en709,answer
en714,en710,answer
en714,en711,answer
en714,en712,answer
en714,en713,answer
en716,en715,answer
en718,en717,answer
en722,en719,answer
en722,en720,answer
en722,en721,answer
en725,en723,answer
en725,en724,answer
en727,en726,answer
en729,en728,answer
en731,en730,answer
en733,en281,answer
en733,en39,answer
en733,en139,answer
en733,en732,answer
en735,en734,answer
en737,en736,answer
en739,en738,answer
en740,en433,answer
en742,en741,answer
en744,en743,answer
en746,en745,answer
en748,en747,answer
en750,en749,answer
en752,en751,answer
en754,en753,answer
en756,en755,answer
en756,en435,answer
en758,en757,answer
en759,en583,answer
en761,en760,answer
en763,en762,answer
en764,en695,answer
en766,en765,answer
en768,en767,answer
en777,en582,answer
en777,en769,answer
en777,en770,answer
en777,en771,answer
en777,en587,answer
en777,en772,answer
en777,en773,answer
en777,en774,answer
en777,en775,answer
en777,en590,answer
en777,en776,answer
en779,en778,answer
en781,en780,answer
en784,en782,answer
en784,en783,answer
en784,en755,answer
en786,en785,answer
en788,en787,answer
en792,en789,answer
en792,en790,answer
en792,en791,answer
en793,en431,answer
en795,en794,answer
en797,en796,answer
en799,en798,answer
en801,en800,answer
en803,en802,answer
en805,en804,answer
en807,en806,answer
en810,en808,answer
en810,en809,answer
en812,en811,answer
en825,en813,answer
en825,en814,answer
en825,en815,answer
en825,en816,answer
en825,en817,answer
en825,en818,answer
en825,en819,answer
en825,en820,answer
en825,en821,answer
en825,en822,answer
en825,en823,answer
en825,en824,answer
en826,en522,answer
en826,en523,answer
en826,en524,answer
en828,en827,answer
en830,en829,answer
en831,en9,answer
en831,en289,answer
en833,en832,answer
en836,en834,answer
en836,en835,answer
en838,en837,answer
en840,en839,answer
en842,en841,answer
en844,en843,answer
en846,en845,answer
en847,en41,answer
en849,en848,answer
en851,en850,answer
en854,en852,answer
en854,en853,answer
en856,en855,answer
en859,en857,answer
en859,en858,answer
en861,en860,answer
en863,en862,answer
en865,en864,answer
en868,en866,answer
en868,en867,answer
en871,en869,answer
en871,en870,answer
en873,en872,answer
en876,en874,answer
en876,en875,answer
en878,en877,answer
en878,en39,answer
en880,en879,answer
en881,en145,answer
en883,en882,answer
en885,en884,answer
en887,en886,answer
