entity:ID,name,:LABEL
en1,Q5294,s
en2,what medium is preceded by grand theft auto v,q
en3,Q215622,s
en4,Q25052149,s
en5,Q30173038,s
en6,Q3586935,s
en7,Q428598,s
en8,Q543609,s
en9,Q590740,s
en10,Q918466,s
en11,Q918472,s
en12,Q918503,s
en13,what is jeremy corbyn's position and when was he chosen,q
en14,Q192626,s
en15,what island did james cook land on in 1778,q
en16,Q57321,s
en17,who was the president in 2012 of the country where the bribri language was spoken,q
en18,Q366731,s
en19,american naval leader during the world war 2,q
en20,Q233644,s
en21,"who married grover cleveland on june 2, 1886",q
en22,Q213417,s
en23,who did brett gardner play for in 2008,q
en24,Q354373,s
en25,what is member of of victor hugo and follows,q
en26,Q536900,s
en27,when did tiger woods receive best male athlete espy award,q
en28,Q664167,s
en29,what is record label of patti smith that is start time is 1975-0-0,q
en30,Q1474410,s
en31,tell me what morgan freeman was nominated for in the 32nd tony awards.,q
en32,Q5606394,s
en33,who is the long snapper currently for the steelers,q
en34,Q50686,s
en35,Q842112,s
en36,Q849866,s
en37,"which class of government, does the location where the breed ga noi originated at have currently",q
en38,Q142,s
en39,Q31,s
en40,Q32,s
en41,Q35,s
en42,Q36,s
en43,Q41,s
en44,Q55,s
en45,neighbouring countries did germany capture in the 1940s,q
en46,Q9696,s
en47,which kennedy died first,q
en48,Q1471357,s
en49,what year did brandon roy get drafted,q
en50,Q179732,s
en51,Q525362,s
en52,who is the 2011 governor of the state where altamaha river is lcoated,q
en53,Q280413,s
en54,"until 1964, who was gilles deleuze employed by",q
en55,Q3021599,s
en56,what is spouse of carl akeley that is end time is 1923-0-0,q
en57,Q1051837,s
en58,Q1051846,s
en59,Q1316734,s
en60,Q1316770,s
en61,Q1316802,s
en62,Q155391,s
en63,Q3130846,s
en64,Q4561415,s
en65,Q4562126,s
en66,Q4562311,s
en67,Q4563898,s
en68,Q4564126,s
en69,Q4564356,s
en70,Q4564598,s
en71,Q4564977,s
en72,Q4565294,s
en73,Q6145292,s
en74,Q6147072,s
en75,Q845534,s
en76,Q845599,s
en77,Q845603,s
en78,Q845607,s
en79,Q845627,s
en80,Q845650,s
en81,Q845655,s
en82,Q845665,s
en83,Q922550,s
en84,in which year of world series did the new york yankees win where the results were 4-2,q
en85,Q1297,s
en86,this city had the first woman mayor who was elected in 1979,q
en87,Q60,s
en88,where was john lennon standing when he was shot,q
en89,Q439729,s
en90,"who was the new governor of the location where the movie ""blood widow"" took place in 2011",q
en91,Q174979,s
en92,who is the first american to visit space,q
en93,Q181786,s
en94,who won best actor when alfred junge won best art direction,q
en95,Q16996747,s
en96,what was jay-z first single,q
en97,Q158659,s
en98,"in 1673, holy roman emperor leopold i ended a relationship with which woman",q
en99,Q18732,s
en100,what is member of sports team of kevin keegan that is end time is 1982-1-1,q
en101,Q7750804,s
en102,which book did ann martin write in 2003,q
en103,Q1490,s
en104,what was the administrative body of cairo governate on 1990-10-23,q
en105,Q25139,s
en106,which movie won best cinematography when sam mendes won best director,q
en107,Q737051,s
en108,"in 1967, what was igor sikorsky awarded",q
en109,Q53003,s
en110,what is spouse of ingrid bergman and start time,q
en111,Q6074142,s
en112,Q6235084,s
en113,what are the athletes who were born on 04/26/1882,q
en114,Q2041168,s
en115,what was the first newspaper called in australia,q
en116,Q319099,s
en117,who did george hw bush go against during his election,q
en118,Q884135,s
en119,what was bruce willis' first movie,q
en120,what is winner and point in time of tiger woods has award received as best male athlete espy award,q
en121,Q11453,s
en122,who was the first civilization to have irrigation systems,q
en123,Q1829,s
en124,explain and name the twinned administrative body of cagliari starting in 2011,q
en125,Q2083133,s
en126,Q5291122,s
en127,Q984327,s
en128,who is the 2012 falcons quarterback and has passing attempts statistics of 1,q
en129,who was the first american to enter outer space,q
en130,Q9682,s
en131,"in 1952, who was the new head of state of south australia",q
en132,Q580808,s
en133,the team won the 1992 nba finals championship has who as the current coach,q
en134,Q5794,s
en135,which team did wayne rooney play for before joining manchester united,q
en136,Q175772,s
en137,who was the first leader of mali,q
en138,Q313788,s
en139,what superman actors birthday is on 31st july,q
en140,Q145,s
en141,Q30,s
en142,Q408,s
en143,Q414,s
en144,Q796,s
en145,Q851,s
en146,what country led by a religious organization since 07-31-1973 fought in the gulf war,q
en147,Q4335326,s
en148,"find the assaults that happened on april the 7th, 1995",q
en149,Q11816,s
en150,what is child of john adams that is date of death is 1848-2-23,q
en151,Q134773,s
en152,what was tom hanks 3rd oscar nomination,q
en153,Q106775,s
en154,who played dumbledore in the first harry potter,q
en155,Q826589,s
en156,what is position held of gianni agnelli and end date,q
en157,Q6265940,s
en158,name the award received by jean tirole in 1998,q
en159,Q4589592,s
en160,what year did the champion of the 1995 nba finals first won the championship,q
en161,Q5524835,s
en162,who is amy grant's first husband,q
en163,Q1765120,s
en164,what was charles babbge scholastic degree i 1814,q
en165,Q3631124,s
en166,who was the first woman to be mayor,q
en167,Q1370780,s
en168,the anime series lupin the third was created by whom,q
en169,Q976396,s
en170,what team does lamar odom play for 2013,q
en171,Q7521081,s
en172,what is given name of louis agassiz that is series ordinal is 1,q
en173,Q849079,s
en174,when was the last time the ny giants went to the super bowl,q
en175,Q4355264,s
en176,who was the newscaster in 1948 on cbs evening news,q
en177,Q769,s
en178,what nation did the united states invaded in 1983,q
en179,Q3084303,s
en180,Q741182,s
en181,why did ramsay macdonald get elected to the member of the 32d parliament of the uk and why did he stop,q
en182,Q267245,s
en183,Q8682,s
en184,"what team, that michael essien played for, did cristiano ronaldo play for in 2012",q
en185,Q325904,s
en186,Q816319,s
en187,give me uninformed search that contains the word first in their name,q
en188,Q1543,s
en189,Q17479,s
en190,who did ronaldinho play for in 2011 with the team mascot named flamengo vulture,q
en191,Q16958416,s
en192,Q2071940,s
en193,what was the last year the la kings won the cup,q
en194,Q580574,s
en195,what is norman mailer nominated for who's point in time is 1994-0-0,q
en196,Q1003997,s
en197,"whence was the person who said ""blessed are they that mourn: for they shall be comforted"" after he was crucified",q
en198,Q17144,s
en199,Q17277947,s
en200,Q5020532,s
en201,what award did dolores huerta receive in 2012,q
en202,Q622813,s
en203,what is award received of hugh lofting that is point in time is 1923-0-0,q
en204,Q36678,s
en205,Q36755,s
en206,Q39760,s
en207,Q83210,s
