:START_ID,:END_ID,:TYPE
en2,en1,answer
en13,en3,answer
en13,en4,answer
en13,en5,answer
en13,en6,answer
en13,en7,answer
en13,en8,answer
en13,en9,answer
en13,en10,answer
en13,en11,answer
en13,en12,answer
en15,en14,answer
en17,en16,answer
en19,en18,answer
en21,en20,answer
en23,en22,answer
en25,en24,answer
en27,en26,answer
en29,en28,answer
en31,en30,answer
en33,en32,answer
en37,en34,answer
en37,en35,answer
en37,en36,answer
en45,en38,answer
en45,en39,answer
en45,en40,answer
en45,en41,answer
en45,en42,answer
en45,en43,answer
en45,en44,answer
en47,en46,answer
en49,en48,answer
en52,en50,answer
en52,en51,answer
en54,en53,answer
en56,en55,answer
en84,en57,answer
en84,en58,answer
en84,en59,answer
en84,en60,answer
en84,en61,answer
en84,en62,answer
en84,en63,answer
en84,en64,answer
en84,en65,answer
en84,en66,answer
en84,en67,answer
en84,en68,answer
en84,en69,answer
en84,en70,answer
en84,en71,answer
en84,en72,answer
en84,en73,answer
en84,en74,answer
en84,en75,answer
en84,en76,answer
en84,en77,answer
en84,en78,answer
en84,en79,answer
en84,en80,answer
en84,en81,answer
en84,en82,answer
en84,en83,answer
en86,en85,answer
en88,en87,answer
en90,en89,answer
en92,en91,answer
en94,en93,answer
en96,en95,answer
en98,en97,answer
en100,en99,answer
en102,en101,answer
en104,en103,answer
en106,en105,answer
en108,en107,answer
en110,en109,answer
en113,en111,answer
en113,en112,answer
en115,en114,answer
en117,en116,answer
en119,en118,answer
en120,en26,answer
en122,en121,answer
en124,en123,answer
en128,en125,answer
en128,en126,answer
en128,en127,answer
en129,en91,answer
en131,en130,answer
en133,en132,answer
en135,en134,answer
en137,en136,answer
en139,en138,answer
en146,en38,answer
en146,en140,answer
en146,en141,answer
en146,en142,answer
en146,en143,answer
en146,en144,answer
en146,en145,answer
en148,en147,answer
en150,en149,answer
en152,en151,answer
en154,en153,answer
en156,en155,answer
en158,en157,answer
en160,en159,answer
en162,en161,answer
en164,en163,answer
en166,en165,answer
en168,en167,answer
en170,en169,answer
en172,en171,answer
en174,en173,answer
en176,en175,answer
en178,en177,answer
en181,en179,answer
en181,en180,answer
en184,en182,answer
en184,en183,answer
en187,en185,answer
en187,en186,answer
en190,en188,answer
en190,en189,answer
en193,en191,answer
en193,en192,answer
en195,en194,answer
en197,en196,answer
en201,en198,answer
en201,en199,answer
en201,en200,answer
en203,en202,answer
en208,en204,answer
en208,en205,answer
en208,en206,answer
en208,en207,answer
en210,en209,answer
en212,en211,answer
en214,en213,answer
en216,en215,answer
en218,en217,answer
en220,en219,answer
en224,en221,answer
en224,en222,answer
en224,en223,answer
en226,en225,answer
en228,en227,answer
en230,en229,answer
en232,en231,answer
en234,en233,answer
en237,en235,answer
en237,en236,answer
en241,en238,answer
en241,en239,answer
en241,en240,answer
en243,en242,answer
en245,en244,answer
en250,en246,answer
en250,en247,answer
en250,en248,answer
en250,en249,answer
en252,en251,answer
en254,en253,answer
en257,en255,answer
en257,en256,answer
en259,en258,answer
en261,en260,answer
en263,en262,answer
en270,en264,answer
en270,en265,answer
en270,en266,answer
en270,en267,answer
en270,en268,answer
en270,en269,answer
en272,en271,answer
en273,en227,answer
en275,en274,answer
en277,en276,answer
en279,en278,answer
en281,en280,answer
en283,en282,answer
en285,en284,answer
en287,en286,answer
en289,en288,answer
en290,en288,answer
en292,en291,answer
en302,en293,answer
en302,en294,answer
en302,en295,answer
en302,en296,answer
en302,en297,answer
en302,en298,answer
en302,en299,answer
en302,en300,answer
en302,en301,answer
en318,en303,answer
en318,en304,answer
en318,en305,answer
en318,en306,answer
en318,en307,answer
en318,en308,answer
en318,en309,answer
en318,en310,answer
en318,en311,answer
en318,en312,answer
en318,en313,answer
en318,en314,answer
en318,en315,answer
en318,en316,answer
en318,en317,answer
en320,en319,answer
en322,en321,answer
en324,en323,answer
en326,en325,answer
en328,en327,answer
en330,en329,answer
en332,en331,answer
en335,en333,answer
en335,en334,answer
en337,en336,answer
en338,en240,answer
en340,en339,answer
en341,en85,answer
en345,en342,answer
en345,en343,answer
en345,en344,answer
en349,en346,answer
en349,en347,answer
en349,en348,answer
en353,en350,answer
en353,en351,answer
en353,en352,answer
en355,en354,answer
en357,en356,answer
en359,en358,answer
en361,en360,answer
en366,en362,answer
en366,en363,answer
en366,en364,answer
en366,en365,answer
en368,en367,answer
en370,en369,answer
en372,en371,answer
en374,en373,answer
en376,en188,answer
en376,en375,answer
en376,en183,answer
en378,en377,answer
en380,en379,answer
en382,en381,answer
en383,en16,answer
en385,en384,answer
en387,en386,answer
en398,en388,answer
en398,en389,answer
en398,en390,answer
en398,en391,answer
en398,en392,answer
en398,en350,answer
en398,en393,answer
en398,en394,answer
en398,en395,answer
en398,en396,answer
en398,en397,answer
en400,en399,answer
en402,en401,answer
en405,en403,answer
en405,en404,answer
en407,en406,answer
en413,en408,answer
en413,en409,answer
en413,en410,answer
en413,en411,answer
en413,en412,answer
en414,en390,answer
en416,en415,answer
en418,en417,answer
en425,en419,answer
en425,en420,answer
en425,en421,answer
en425,en422,answer
en425,en423,answer
en425,en424,answer
en427,en426,answer
en433,en428,answer
en433,en429,answer
en433,en430,answer
en433,en431,answer
en433,en432,answer
en436,en434,answer
en436,en435,answer
en438,en437,answer
en440,en439,answer
en442,en441,answer
en444,en443,answer
en445,en286,answer
en447,en446,answer
en449,en448,answer
en451,en342,answer
en451,en450,answer
en453,en452,answer
